Station	Date	Tmin	Tmax	Tavg	I
31/01/2018	2.2	6.1	3.7	0.7
01/02/2018	1.6	3.5	2.7	1.3
02/02/2018	-2.3	3.1	1.9	0.7
03/02/2018	-3.4	-0.9	-2	1.4
04/02/2018	-3.2	0.9	-0.8	4.9
05/02/2018	-5.3	-1.2	-3.2	5.7
06/02/2018	-6.8	-1.9	-3.9	3.6
07/02/2018	-5.5	-0.5	-2.4	3.9
08/02/2018	-3.9	1.4	-1.5	5.8
09/02/2018	-3.5	0	-1.8	5.4
10/02/2018	-4.6	0.8	-1.7	4.4
11/02/2018	-0.5	2.8	0.9	1.4
12/02/2018	0.9	3.1	2	3.7
13/02/2018	-0.6	1.4	0.6	2.4
14/02/2018	-1.9	3.4	0.4	7.1
15/02/2018	-1.3	0.8	-0.4	3.5
16/02/2018	0.4	4.8	2.4	5.9
17/02/2018	1	4.2	2.3	3.5
18/02/2018	0.2	3.3	1.7	5.4
19/02/2018	-0.2	3.5	1	4.1
20/02/2018	-0.7	3.5	1	5.8
21/02/2018	-0.5	3.1	0.8	5.4
22/02/2018	-2.3	2.1	-0.2	7.5
23/02/2018	-4.1	1.9	-1.2	8.3
24/02/2018	-3.8	-0.5	-1.8	8.5
25/02/2018	-6.2	-2	-4	7.7
26/02/2018	-7.7	-0.8	-4.4	9.5
27/02/2018	-8.3	-4.1	-6.2	6.4
28/02/2018	-9.4	-5.5	-7.6	6.5
01/03/2018	-7.9	-3.4	-5.6	5
02/03/2018	-6.2	-2.6	-4.4	5.2
03/03/2018	-4.7	-0.5	-2.9	5.9
04/03/2018	-4.8	-0.7	-2.7	8.8
05/03/2018	-2.5	2.5	-0.5	3.7
06/03/2018	-3.2	6.4	1.7	10.6
07/03/2018	-0.3	2	0.4	3.7
08/03/2018	-1.1	2	0.2	4.9
09/03/2018	-0.9	1.9	0.6	3.6
10/03/2018	-1.6	1.9	0	6.7
11/03/2018	0.8	4.7	2.8	3.6
12/03/2018	2.5	5.4	4	1.7
13/03/2018	1.1	3.4	2.1	2.4
