ScreenName	Uinsulation	heatingCost	lampCost	co2Cost	transpiration	condensation	ventedWater	screen1	screen2	screen3	light1	light2	light3	energySaving	iteration	step
character	character	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LS_Solaro_7530_O_E_AW	6.4	0.770215	0.645076	23.1702	1683.52	-708.838	-891.882	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	119	175200
LS_Solaro_7530_O_E_AW	12.8	0.839977	0.645076	22.835	1668.86	-701.262	-884.221	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	120	175200
LS_Solaro_7530_O_E_AW	25.6	0.895744	0.645076	22.7892	1663.13	-694.319	-885.112	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.3	121	175200
PH_98_FP_plus_PH_1_FP	0.05	0.548886	0.645076	26.9679	1788.82	-728.103	-982.57	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	122	175200
PH_98_FP_plus_PH_1_FP	0.1	0.552515	0.645076	26.8206	1786.05	-728.218	-979.446	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	123	175200
PH_98_FP_plus_PH_1_FP	0.2	0.560119	0.645076	26.5911	1780.99	-728.015	-974.253	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	124	175200
PH_98_FP_plus_PH_1_FP	0.4	0.574097	0.645076	26.151	1771.71	-727.658	-964.748	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	125	175200
PH_98_FP_plus_PH_1_FP	0.8	0.599732	0.645076	25.5218	1756.69	-726.333	-950.262	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	126	175200
PH_98_FP_plus_PH_1_FP	1.6	0.642131	0.645076	24.701	1734.6	-723.107	-930.423	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	127	175200
PH_98_FP_plus_PH_1_FP	3.2	0.701148	0.645076	23.7613	1706.35	-717.792	-906.468	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	128	175200
PH_98_FP_plus_PH_1_FP	6.4	0.771801	0.645076	23.0403	1680.42	-709.917	-887.663	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	129	175200
PH_98_FP_plus_PH_1_FP	12.8	0.840244	0.645076	22.702	1663.44	-700.743	-879.319	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	130	175200
PH_98_FP_plus_PH_1_FP	25.6	0.89384	0.645076	22.6298	1655.27	-692.636	-878.989	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.78	131	175200
