iteration.end	fileName.end	atEnd.end	density.thresholdGen.end	frequencies.thresholdGen.end	K_maxValue.end	coverage_maxValue.end	proportion_bounds_logP.end	q_bounds_logP.end	maxMortality.end	slope.end	resistanceGain.end	R.end	fitnessPenalty.end
130	scenarios.txt	FALSE	30	23	11519.2	0.500025	-3.29927	-5.19655	0.955849	3.94749	0.800126	23.244	0.37945
131	scenarios.txt	FALSE	30	10	15434.6	0.741234	-4.51845	-4.32245	0.947777	8.06343	0.47951	21.7821	0.346053
132	scenarios.txt	FALSE	30	10	15966.4	0.769785	-5.37566	-5.61161	0.952175	9.51264	0.620998	31.4169	0.299201
133	scenarios.txt	FALSE	14	30	14469.2	0.352537	-4.05947	-4.4258	0.959522	1.45846	0.330979	28.1488	0.278716
134	scenarios.txt	FALSE	30	30	11064.2	0.34677	-2.87695	-4.56995	0.95562	8.48581	0.211791	35.7473	0.0644579
135	scenarios.txt	FALSE	10	30	18997.2	0.784192	-2.02237	-5.48025	0.983405	1.78995	0.148738	34.8568	0.267316
136	scenarios.txt	FALSE	30	11	12666.2	0.736671	-5.83282	-5.49185	0.980849	6.91289	0.522879	30.5759	0.020535
137	scenarios.txt	FALSE	4	30	19108.7	0.73465	-4.73392	-5.50898	0.928257	1.34589	0.826277	45.8584	0.230131
138	scenarios.txt	FALSE	30	30	12789.3	0.536785	-5.34302	-4.7727	0.940288	4.99879	0.292445	6.34718	0.307475
139	scenarios.txt	FALSE	9	22	18179.2	0.635668	-5.66438	-5.42423	0.945597	2.866	0.890057	40.9309	0.256462
140	scenarios.txt	FALSE	30	14	15823.3	0.734185	-5.97105	-4.40437	0.909057	9.58417	0.267587	44.2886	0.326944
141	scenarios.txt	FALSE	15	9	13913.1	0.509867	-4.04133	-4.59591	0.95462	9.65962	0.732241	46.1107	0.204595
142	scenarios.txt	FALSE	30	30	15600.1	0.641867	-2.16201	-4.36141	0.940485	2.75037	0.265933	43.9609	0.138317
143	scenarios.txt	FALSE	30	16	14725	0.867554	-3.55405	-4.60768	0.924694	9.59954	0.154435	45.3773	0.273225
144	scenarios.txt	FALSE	30	17	16411.4	0.497378	-3.34624	-4.88723	0.916651	6.04664	0.383631	11.026	0.0668458
145	scenarios.txt	FALSE	30	13	14421.9	0.514091	-3.70289	-5.12995	0.984191	8.16308	0.387696	10.6569	0.270651
146	scenarios.txt	FALSE	12	30	15525.3	0.146942	-3.97684	-5.60049	0.949481	3.29709	0.335327	28.8138	0.156066
147	scenarios.txt	FALSE	12	25	19359.2	0.505642	-4.09752	-4.18294	0.988057	4.24043	0.32399	24.0427	0.0525483
148	scenarios.txt	FALSE	30	30	13047.5	0.21756	-3.6395	-5.55443	0.987517	2.28454	0.530989	17.6239	0.288015
149	scenarios.txt	FALSE	11	30	12831.3	0.228271	-4.30813	-4.37495	0.970099	7.96246	0.833232	42.4355	0.388906
150	scenarios.txt	FALSE	30	22	10172	0.525628	-4.39068	-4.84126	0.908093	7.16681	0.260644	36.1956	0.174866
151	scenarios.txt	FALSE	30	14	11137.1	0.647504	-2.90991	-4.22262	0.976262	5.43708	0.296854	31.9264	0.0391146
152	scenarios.txt	FALSE	30	30	10829.9	0.13042	-5.51551	-4.443	0.915889	8.00407	0.881999	41.5823	0.0201831
